Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,city,state
Radisson Hyderabad Hitec City,3.7,Very Good,7994,5,Gachibowli,,,"4,500",,Hyderabad,Telangana
The Park Hyderabad,3.7,Very Good,11318,5,Somajiguda,,,"5,699","1,284",Hyderabad,Telangana
ITC Kohenur - A Luxury Collection Hotel,4.3,Excellent,2465,5,Hitech City,,,"16,150",,Hyderabad,Telangana
Fairfield by Marriott Hyderabad Gachibowli,3.9,Very Good,5006,4,Gachibowli,,,"4,004",818,Hyderabad,Telangana
Radisson Blu Plaza Hotel,4.1,Very Good,4632,5,Banjara Hills,,,"7,250",,Hyderabad,Telangana
Lemon Tree Hotel Gachibowli,4,Very Good,5372,4,Gachibowli,,,"4,183","1,518",Hyderabad,Telangana
Red Fox Hotel Hyderabad,3.9,Very Good,4338,3,Hitech City,,,"2,654","1,050",Hyderabad,Telangana
"Lemon Tree Hotel, Banjara Hills, Hyderabad",4.1,Very Good,2775,4,Banjara Hills,,,"2,571",933,Hyderabad,Telangana
"Taj Krishna, Hyderabad",4.5,Excellent,1580,5,Banjara Hills,,,"8,000",,Hyderabad,Telangana
Novotel Hyderabad Airport,3.9,Very Good,1278,5,Near Hyderabad Airport ,Rajiv Gandhi International Airport,3.6 km ,"12,999",,Hyderabad,Telangana
Rester Select Kukatpally,4,Very Good,263,3,Kukatpally,,,"2,463",674,Hyderabad,Telangana
The Golkonda Hotel,4.1,Very Good,3981,4,Masab Tank,,,"5,499",660,Hyderabad,Telangana
Trident Hyderabad,4.7,Excellent,1517,5,Hitech City,,,"14,250",,Hyderabad,Telangana
Ellaa Hotel Gachibowli,3.8,Very Good,4341,4,Gachibowli,,,"3,321",678,Hyderabad,Telangana
Lemon Tree Premier HITEC City Hyderabad,4,Very Good,5148,5,Hitech City,,,"3,151","1,246",Hyderabad,Telangana
"Siri Inn Hospitality | Rooms in an Apartment
Like a 3",3.6,Very Good,681,,Hitech City,,,"1,287",373,Hyderabad,Telangana
ibis Hyderabad HITEC City - An Accor Brand,3.8,Very Good,1016,3,Hitech City,,,"4,499",,Hyderabad,Telangana
Hyatt Place Hyderabad Banjara Hills,4.1,Very Good,1695,5,Banjara Hills,,,"7,249",,Hyderabad,Telangana
"Vivanta Hyderabad, Begumpet",4.4,Excellent,2743,5,Begumpet,,,"6,500",,Hyderabad,Telangana
Zen Comfort,4,Very Good,300,,Gachibowli,,,"1,438",387,Hyderabad,Telangana
Hyderabad Marriott Hotel and Convention Centre,4.3,Excellent,1240,5,Kavadiguda,,,"6,500",,Hyderabad,Telangana
HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD,4.1,Very Good,2343,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"2,217",571,Hyderabad,Telangana
Daspalla Hotel,4.1,Very Good,1948,4,Jubilee Hills,,,"5,413","1,386",Hyderabad,Telangana
Hotel OAK by Signature,4.2,Very Good,1722,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"1,317",346,Hyderabad,Telangana
Aditya Park Hyderabad - A Sarovar Hotel,4,Very Good,2503,4,Ameerpet,,,"6,111","1,248",Hyderabad,Telangana
"Park Hyatt Hotel and Residences, Hyderabad",4.2,Very Good,874,5,Sri Nagar Colony,,,"10,000",,Hyderabad,Telangana
Marigold By Green Park,4.3,Excellent,2477,5,Ameerpet,,,"5,714","1,485",Hyderabad,Telangana
Hotel Hyderabad Grand,3.8,Very Good,1599,3,Shamshabad ,Rajiv Gandhi International Airport,7.6 km ,"3,028",756,Hyderabad,Telangana
Green Park,4.2,Very Good,1864,4,Ameerpet,,,"5,122","1,267",Hyderabad,Telangana
The Central Court,3.6,Very Good,3819,3,Lakdikapul,,,"2,041",566,Hyderabad,Telangana
Holiday Inn Express Hyderabad HITEC City,3.5,Very Good,1894,3,Hitech City,,,"4,499",,Hyderabad,Telangana
Slackpackr Hostel,4.1,Very Good,87,,Begumpet,,,849,237,Hyderabad,Telangana
Holiday Inn Express Hyderabad Banjara Hills,3.5,Very Good,2359,3,Punjagutta,,,"4,140",540,Hyderabad,Telangana
CITADEL Hotel By Vinnca,4.1,Very Good,949,3,Gaghan Pahad,,,"2,932",802,Hyderabad,Telangana
Aditya Hometel Hyderabad - A Sarovar Hotel,3.5,Very Good,2234,3,Ameerpet,,,"1,860",380,Hyderabad,Telangana
Hotel Deccan Serai Grande,4.4,Excellent,517,4,Gachibowli,,,"7,014","2,297",Hyderabad,Telangana
Katriya Hotel and Towers,2.8,Average,3250,3,Somajiguda,,,"3,761",451,Hyderabad,Telangana
Hotel Saptagiri Hyderabad,3.8,Very Good,2861,3,Shivaji Nagar ,Secunderabad Junction Railway Station ,760 m ,"2,724",614,Hyderabad,Telangana
Hampshire Plaza Hotel,3.8,Very Good,1680,3,Lakdikapul,,,"3,379",891,Hyderabad,Telangana
"Taj Deccan, Hyderabad",4.4,Excellent,2694,5,Banjara Hills,,,"6,990",,Hyderabad,Telangana
Avasa Hotel,4.2,Very Good,2073,5,Madhapur,,,"6,696","1,368",Hyderabad,Telangana
Hotel Akoya - HITECH City Hyderabad,4.1,Very Good,520,3,Hitech City,,,"2,471",681,Hyderabad,Telangana
MARIGOLD AT NEST,3.8,Very Good,93,2,Gachibowli,,,"1,346",307,Hyderabad,Telangana
HOTEL RAINTR33,3.8,Very Good,1012,3,Hitech City,,,"2,011",550,Hyderabad,Telangana
Urban Nest Luxury Rooms,3.9,Very Good,206,,Kokapet,,,"1,046",357,Hyderabad,Telangana
Novotel Hyderabad Convention Centre,4.2,Very Good,2033,5,Hitech City,,,"10,500",,Hyderabad,Telangana
Hotel B Plus L,4,Very Good,866,4,Hitech City,,,"3,360",795,Hyderabad,Telangana
La Hometel Hotel - HITECH City Hyderabad,3.9,Very Good,236,3,Hitech City,,,"1,435",387,Hyderabad,Telangana
Le Meridien Hyderabad,4.3,Excellent,1059,5,Gachibowli,,,"10,500",,Hyderabad,Telangana
"Restel Studio Flats
Like a 3",4.2,Very Good,262,,Borabanda,,,"1,801",504,Hyderabad,Telangana
The Conclave,3.2,Good,958,3,Gachibowli,,,"1,613",497,Hyderabad,Telangana
The Landmark Banjara Hills,4,Very Good,613,3,Banjara Hills,,,"1,696",437,Hyderabad,Telangana
THE CENT,3.3,Good,1544,3,Lakdikapul,,,"1,662",389,Hyderabad,Telangana
Courtyard by Marriott Hyderabad,4.5,Excellent,981,4,Kavadiguda,,,"6,000",,Hyderabad,Telangana
"The Wilderness Retreat | Rooms & Restaurant
Like a 4",3.9,Very Good,220,,Gandipet,,,"7,346","2,197",Hyderabad,Telangana
The Altruist Business Hotel (Hitech),3.7,Very Good,1888,4,Shilpa Hills,,,"4,278","1,028",Hyderabad,Telangana
Istay Hotels Hitec,3.7,Very Good,1236,3,Kondapur,,,"2,913",613,Hyderabad,Telangana
Hyatt Hyderabad Gachibowli,4.1,Very Good,864,5,Gachibowli,,,"8,750",,Hyderabad,Telangana
The Art Boutique Hotel,3.8,Very Good,1515,3,Gachibowli,,,"2,197",677,Hyderabad,Telangana
Hotel Imperial Classic,3.9,Very Good,2183,3,Himayat Nagar,,,"1,068",315,Hyderabad,Telangana
Mercure Hyderabad KCP - An AccorHotels brand,4.2,Very Good,773,4,Punjagutta,,,"5,000",,Hyderabad,Telangana
Veeraj Suites,4,Very Good,435,3,Rai Durg,,,"2,170",599,Hyderabad,Telangana
Bloom Hotel - Gachibowli,4.1,Very Good,181,3,Gachibowli,,,"4,500",,Hyderabad,Telangana
Oakwood Residence Kapil Hyderabad,4.5,Excellent,957,,Gachibowli,,,"7,500",,Hyderabad,Telangana
Aalankrita Resort & Convention,4.1,Very Good,3109,4,Secunderabad ,city centre,26.5 km ,"4,484",916,Hyderabad,Telangana
Minerva Grand- Kondapur,3.9,Very Good,1019,3,Kothaguda,,,"4,371",893,Hyderabad,Telangana
M SQUARE HOTEL,3.9,Very Good,263,3,Hitech City,,,"4,395",898,Hyderabad,Telangana
Sri Sri Suites,3.4,Good,152,,Madhapur,,,"1,208",330,Hyderabad,Telangana
The Manohar,2.7,Average,258,3,Begumpet,,,"3,158",645,Hyderabad,Telangana
The Lime Boutique Suites,4.1,Very Good,1434,3,Gachibowli,,,"2,976",608,Hyderabad,Telangana
Taj Tristar,3.9,Very Good,992,3,Secunderabad ,city centre,7.7 km ,"2,271",494,Hyderabad,Telangana
Minerva Grand - Banjara,4,Very Good,1453,3,Banjara Hills,,,"4,464",912,Hyderabad,Telangana
Sheraton Hyderabad,4.3,Excellent,769,5,Gachibowli,,,"1,25,000",,Hyderabad,Telangana
ITC Kakatiya - A Luxury Collection Hotel,4.2,Very Good,1071,5,Begumpet,,,"9,690",,Hyderabad,Telangana
Bikanervala Boutique Hotel,4.1,Very Good,1037,3,Banjara Hills,,,"3,488",713,Hyderabad,Telangana
